facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
FAC-1183,South Zone,6.2,3.2,29.3,Yes,121,2,2026-07-03
FAC-1057,South Zone,5.7,2.7,62.7,Yes,130,1,2026-02-27
FAC-1109,East Zone,7.8,2.5,23.5,Yes,900,2,2026-04-20
FAC-1166,West Zone,9.3,4.0,58.3,No,120,2,2026-06-16
FAC-1198,Central Zone,7.0,3.0,34.5,No,126,5,2026-07-18
FAC-1129,Central Zone,10.0,3.7,44.2,Yes,130,2,2026-05-10
FAC-1088,West Zone,6.0,3.4,60.0,Yes,123,2,2026-03-30
FAC-1009,Central Zone,6.0,3.1,52.5,Yes,135,3,2026-01-10
FAC-1189,East Zone,8.3,2.3,51.2,Yes,116,3,2026-07-09
FAC-1082,Central Zone,5.0,4.6,73.9,Yes,130,0,2026-03-24
FAC-1120,South Zone,6.8,0.6,39.0,Yes,117,3,2026-05-01
FAC-1139,Central Zone,3.9,2.0,56.9,Yes,122,30,2026-05-20
FAC-1128,Central Zone,7.4,3.0,22.1,No,115,3,2026-05-09
FAC-1060,South Zone,6.4,1.5,50.3,Yes,122,2,2026-03-02
FAC-1141,Central Zone,7.2,1.9,26.3,Yes,121,2,2026-05-22
FAC-1027,South Zone,7.2,4.0,69.8,Yes,131,1,2026-01-28
FAC-1040,West Zone,7.2,2.0,48.7,Yes,112,5,2026-02-10
FAC-1045,North Zone,5.9,3.7,46.9,Yes,132,0,2026-02-15
FAC-1145,West Zone,7.6,3.0,35.1,Yes,128,0,2026-05-26
FAC-1031,West Zone,7.7,1.2,30.9,Yes,129,1,2026-02-01
FAC-1163,North Zone,6.4,3.0,53.8,Yes,118,2,2026-06-13
FAC-1032,West Zone,6.6,4.9,36.8,Yes,108,1,2026-02-02
FAC-1013,South Zone,6.6,1.4,47.4,Yes,121,2,2026-01-14
FAC-1121,West Zone,5.8,5.4,52.1,Yes,111,1,2026-05-02
FAC-1080,Central Zone,8.0,3.4,6.3,Yes,113,0,2026-03-22
FAC-1134,East Zone,6.5,3.6,46.7,Yes,110,3,2026-05-15
FAC-1028,West Zone,6.1,2.1,49.4,Yes,113,0,2026-01-29
FAC-1018,North Zone,8.8,2.6,36.8,Yes,149,2,2026-01-19
FAC-1114,North Zone,6.8,3.1,49.2,Yes,117,2,2026-04-25
FAC-1165,South Zone,5.1,3.0,54.3,No,125,3,2026-06-15
FAC-1154,East Zone,7.7,3.9,76.4,Yes,104,2,2026-06-04
FAC-1096,Central Zone,7.1,2.1,51.4,Yes,101,0,2026-04-07
FAC-1058,West Zone,9.0,1.8,12.1,Yes,109,1,2026-02-28
FAC-1117,East Zone,6.3,5.5,43.7,No,114,3,2026-04-28
FAC-1095,East Zone,6.0,4.6,30.9,Yes,121,0,2026-04-06
FAC-1036,East Zone,7.9,4.0,50.3,Yes,118,4,2026-02-06
FAC-1085,North Zone,5.2,2.5,42.7,Yes,130,2,2026-03-27
FAC-1182,North Zone,6.4,1.1,43.5,Yes,127,2,2026-07-02
FAC-1051,West Zone,8.1,2.3,52.4,No,134,1,2026-02-21
FAC-1173,West Zone,6.7,2.1,11.8,Yes,121,0,2026-06-23
FAC-1143,West Zone,8.1,2.7,15.8,Yes,142,3,2026-05-24
FAC-1084,North Zone,5.5,4.4,87.6,No,122,5,2026-03-26
FAC-1170,North Zone,9.9,5.1,78.6,Yes,119,1,2026-06-20
FAC-1098,South Zone,9.8,2.0,53.0,No,110,2,2026-04-09
FAC-1037,Central Zone,6.8,4.4,37.8,Yes,123,2,2026-02-07
FAC-1155,North Zone,8.7,2.7,69.2,Yes,118,2,2026-06-05
FAC-1113,East Zone,5.9,4.0,29.6,Yes,118,4,2026-04-24
FAC-1105,Central Zone,7.6,4.1,32.6,Yes,123,2,2026-04-16
FAC-1101,North Zone,6.3,2.7,43.1,Yes,129,4,2026-04-12
FAC-1049,West Zone,10.0,3.3,49.1,Yes,114,0,2026-02-19
FAC-1104,North Zone,4.0,2.4,30.6,Yes,850,0,2026-04-15
FAC-1005,South Zone,5.2,3.3,42.2,Yes,112,2,2026-01-06
FAC-1017,Central Zone,7.1,3.3,44.0,Yes,109,3,2026-01-18
FAC-1122,Central Zone,6.4,10.0,52.6,Yes,118,0,2026-05-03
FAC-1174,West Zone,6.9,3.6,42.1,Yes,136,1,2026-06-24
FAC-1181,East Zone,7.8,1.5,26.5,Yes,123,1,2026-07-01
FAC-1106,East Zone,6.2,2.3,46.3,Yes,113,2,2026-04-17
FAC-1086,North Zone,7.7,2.2,1.4,Yes,92,1,2026-03-28
FAC-1062,Central Zone,10.0,2.1,5.7,Yes,114,2,2026-03-04
FAC-1064,South Zone,7.0,1.4,58.2,Yes,107,1,2026-03-06
FAC-1026,East Zone,7.0,1.8,70.0,Yes,116,3,2026-01-27
FAC-1041,North Zone,7.0,2.9,47.5,No,107,1,2026-02-11
FAC-1052,West Zone,7.5,1.9,66.6,Yes,122,1,2026-02-22
FAC-1178,Central Zone,9.5,3.0,40.2,Yes,121,2,2026-06-28
FAC-1081,North Zone,5.4,3.0,50.1,Yes,144,3,2026-03-23
FAC-1007,East Zone,7.6,3.5,38.9,Yes,121,3,2026-01-08
FAC-1091,North Zone,4.8,3.2,63.5,No,128,3,2026-04-02
FAC-1179,North Zone,4.2,3.0,40.9,Yes,121,2,2026-06-29
FAC-1138,South Zone,6.3,4.9,41.6,Yes,126,2,2026-05-19
FAC-1070,North Zone,7.5,1.2,47.2,Yes,119,1,2026-03-12
FAC-1115,Central Zone,6.3,3.3,30.5,Yes,122,3,2026-04-26
FAC-1008,East Zone,5.4,3.1,48.5,Yes,104,1,2026-01-09
FAC-1131,Central Zone,9.9,4.4,53.6,No,122,3,2026-05-12
FAC-1079,West Zone,7.0,2.5,43.9,No,124,28,2026-03-21
FAC-1140,North Zone,10.0,3.7,31.3,Yes,121,0,2026-05-21
FAC-1133,Central Zone,7.3,1.4,30.2,Yes,96,0,2026-05-14
FAC-1029,West Zone,5.7,0.7,24.8,Yes,118,0,2026-01-30
FAC-1003,Central Zone,7.8,2.0,5.8,Yes,114,1,2026-01-04
FAC-1039,South Zone,4.1,1.3,37.2,Yes,116,1,2026-02-09
FAC-1050,West Zone,5.0,2.4,65.6,Yes,128,2,2026-02-20
FAC-1077,West Zone,6.6,3.0,67.6,Yes,145,1,2026-03-19
FAC-1169,West Zone,5.8,2.1,30.6,No,121,3,2026-06-19
FAC-1111,East Zone,7.7,3.6,19.6,Yes,116,1,2026-04-22
FAC-1164,East Zone,8.8,3.2,41.0,Yes,123,3,2026-06-14
FAC-1054,East Zone,8.4,3.4,43.8,Yes,110,1,2026-02-24
FAC-1090,East Zone,8.0,3.4,50.8,No,114,0,2026-04-01
FAC-1168,North Zone,5.1,3.9,28.4,No,104,2,2026-06-18
FAC-1043,South Zone,7.0,4.4,49.6,Yes,133,0,2026-02-13
FAC-1147,East Zone,7.2,3.6,8.1,Yes,129,3,2026-05-28
FAC-1048,South Zone,8.0,2.4,35.9,No,118,0,2026-02-18
FAC-1157,Central Zone,8.6,2.0,0.0,Yes,134,0,2026-06-07
FAC-1059,South Zone,8.8,2.4,55.0,Yes,123,4,2026-03-01
FAC-1015,South Zone,7.9,3.1,27.8,Yes,107,2,2026-01-16
FAC-1053,Central Zone,7.0,4.8,34.0,No,121,3,2026-02-23
FAC-1020,South Zone,7.3,3.2,51.5,Yes,131,3,2026-01-21
FAC-1124,North Zone,6.8,5.3,33.3,Yes,107,1,2026-05-05
FAC-1014,West Zone,6.8,1.1,49.6,Yes,111,2,2026-01-15
FAC-1193,South Zone,10.0,5.4,38.5,Yes,125,1,2026-07-13
FAC-1191,Central Zone,5.0,5.0,32.4,No,124,0,2026-07-11
FAC-1076,North Zone,3.5,1.5,39.2,Yes,126,3,2026-03-18
FAC-1107,West Zone,8.2,6.0,34.2,Yes,116,1,2026-04-18
FAC-1162,Central Zone,7.2,1.5,27.6,Yes,123,0,2026-06-12
FAC-1012,Central Zone,5.9,2.4,33.5,Yes,134,2,2026-01-13
FAC-1016,West Zone,8.9,4.3,67.7,No,104,1,2026-01-17
FAC-1047,Central Zone,8.7,3.3,20.6,Yes,138,4,2026-02-17
FAC-1150,North Zone,8.1,2.7,44.5,Yes,122,1,2026-05-31
FAC-1119,South Zone,6.1,2.5,36.3,Yes,123,1,2026-04-30
FAC-1021,Central Zone,4.8,4.0,40.2,Yes,137,3,2026-01-22
FAC-1190,South Zone,6.1,3.5,55.1,Yes,104,3,2026-07-10
FAC-1130,East Zone,5.8,1.2,29.2,Yes,118,3,2026-05-11
FAC-1187,North Zone,7.5,1.4,54.4,Yes,139,2,2026-07-07
FAC-1073,South Zone,6.3,3.8,50.8,Yes,121,0,2026-03-15
FAC-1030,East Zone,8.2,2.3,75.8,Yes,116,1,2026-01-31
FAC-1188,North Zone,8.7,6.1,43.4,Yes,102,3,2026-07-08
FAC-1033,North Zone,8.6,3.6,42.4,Yes,144,4,2026-02-03
FAC-1148,South Zone,8.8,2.4,18.5,Yes,123,1,2026-05-29
FAC-1171,North Zone,6.9,3.3,42.2,Yes,121,4,2026-06-21
FAC-1180,North Zone,9.4,3.3,14.6,No,140,1,2026-06-30
FAC-1123,East Zone,7.2,3.6,39.4,Yes,118,1,2026-05-04
FAC-1034,East Zone,8.3,3.8,46.8,Yes,129,3,2026-02-04
FAC-1100,West Zone,5.6,3.4,26.9,Yes,124,3,2026-04-11
FAC-1149,West Zone,7.8,4.3,62.0,Yes,132,0,2026-05-30
FAC-1161,North Zone,5.1,2.8,36.7,No,116,3,2026-06-11
FAC-1186,Central Zone,4.7,4.6,60.5,Yes,130,2,2026-07-06
FAC-1061,West Zone,7.8,4.9,4.9,No,107,1,2026-03-03
FAC-1035,Central Zone,9.7,3.6,49.7,Yes,119,2,2026-02-05
FAC-1010,West Zone,8.3,2.7,13.8,Yes,137,3,2026-01-11
FAC-1071,Central Zone,7.1,3.8,63.7,Yes,115,3,2026-03-13
FAC-1199,West Zone,10.0,3.0,47.1,Yes,129,3,2026-07-19
FAC-1093,East Zone,7.7,3.7,29.8,Yes,108,1,2026-04-04
FAC-1159,East Zone,5.7,2.7,43.6,Yes,114,2,2026-06-09
FAC-1118,North Zone,5.9,3.3,55.8,Yes,133,5,2026-04-29
FAC-1144,West Zone,9.9,3.6,60.2,Yes,108,3,2026-05-25
FAC-1001,Central Zone,7.3,3.0,37.1,Yes,119,2,2026-01-02
FAC-1083,Central Zone,5.9,2.2,26.0,Yes,119,2,2026-03-25
FAC-1195,East Zone,5.7,1.6,55.2,Yes,129,2,2026-07-15
FAC-1087,North Zone,9.7,3.1,34.2,Yes,118,3,2026-03-29
FAC-1137,South Zone,7.0,1.7,15.6,Yes,117,5,2026-05-18
FAC-1004,Central Zone,7.0,1.3,52.0,No,128,1,2026-01-05
FAC-1038,North Zone,6.8,2.4,50.0,Yes,99,0,2026-02-08
FAC-1177,North Zone,7.7,1.0,49.4,Yes,119,1,2026-06-27
FAC-1112,Central Zone,9.5,3.3,61.0,Yes,117,3,2026-04-23
FAC-1152,North Zone,7.3,5.0,55.6,No,121,2,2026-06-02
FAC-1056,West Zone,4.1,1.9,5.1,Yes,121,3,2026-02-26
FAC-1069,West Zone,7.0,1.1,55.8,Yes,122,2,2026-03-11
FAC-1044,South Zone,9.0,0.7,33.4,Yes,132,2,2026-02-14
FAC-1019,West Zone,8.3,3.6,42.1,Yes,135,3,2026-01-20
FAC-1006,East Zone,8.2,5.2,66.9,Yes,126,1,2026-01-07
FAC-1055,North Zone,7.0,3.3,52.1,Yes,107,2,2026-02-25
FAC-1075,South Zone,5.8,3.2,33.6,Yes,115,2,2026-03-17
FAC-1000,West Zone,6.9,2.0,47.4,No,116,1,2026-01-01
FAC-1172,South Zone,7.8,3.5,52.2,Yes,127,4,2026-06-22
FAC-1135,East Zone,5.8,0.5,40.2,No,102,1,2026-05-16
FAC-1127,West Zone,6.7,4.7,44.7,Yes,116,2,2026-05-08
FAC-1176,East Zone,7.1,1.6,52.9,Yes,116,2,2026-06-26
FAC-1068,West Zone,7.9,2.2,39.8,Yes,107,1,2026-03-10
FAC-1167,East Zone,5.5,3.1,7.4,Yes,138,1,2026-06-17
FAC-1136,West Zone,8.0,5.8,74.1,Yes,123,1,2026-05-17
FAC-1042,West Zone,5.0,0.0,51.4,Yes,143,5,2026-02-12
FAC-1110,North Zone,6.4,4.4,48.1,Yes,123,2,2026-04-21
FAC-1089,East Zone,4.5,5.3,70.0,Yes,119,1,2026-03-31
FAC-1072,Central Zone,6.7,2.9,54.6,Yes,142,4,2026-03-14
FAC-1023,North Zone,8.1,1.9,0.0,Yes,112,1,2026-01-24
FAC-1142,West Zone,7.0,4.2,26.9,Yes,106,2,2026-05-23
FAC-1185,West Zone,7.3,0.5,47.0,Yes,109,1,2026-07-05
FAC-1092,East Zone,7.0,4.9,22.3,Yes,118,0,2026-04-03
FAC-1103,South Zone,7.9,2.7,59.5,Yes,123,3,2026-04-14
FAC-1151,North Zone,9.7,2.9,57.5,Yes,107,3,2026-06-01
FAC-1067,South Zone,6.5,2.9,47.7,Yes,127,0,2026-03-09
FAC-1025,East Zone,7.2,2.6,7.9,Yes,122,0,2026-01-26
FAC-1196,East Zone,7.6,3.3,30.6,Yes,112,2,2026-07-16
FAC-1175,South Zone,6.2,3.8,54.7,Yes,146,3,2026-06-25
