facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,inspection_year,inspection_month,inspection_day,hygiene_score,risk_score,risk
FAC-1024,North Zone,4.4,0.2,28.8,1,102,3,2026-01-25,2026,1,25,0.3200000000000003,1.6799999999999997,Low
FAC-1102,West Zone,6.4,0.0,31.0,1,121,2,2026-04-13,2026,4,13,3.3000000000000007,-1.3000000000000007,Low
FAC-1158,North Zone,6.0,2.2,34.7,1,113,5,2026-06-08,2026,6,8,-2.6700000000000004,4.67,Low
FAC-1046,South Zone,5.6,2.8,49.8,1,111,1,2026-02-16,2026,2,16,-1.1799999999999995,3.1799999999999997,Low
FAC-1184,South Zone,8.6,2.6,50.3,1,134,3,2026-07-04,2026,7,4,-0.0299999999999993,2.0299999999999994,Low
FAC-1197,North Zone,6.8,4.0,58.8,0,128,1,2026-07-17,2026,7,17,-4.08,4.079999999999999,Low
FAC-1146,West Zone,7.9,1.4,33.3,1,112,1,2026-05-27,2026,5,27,4.17,-2.170000000000001,Low
FAC-1074,Central Zone,6.1,3.9,34.7,0,101,3,2026-03-16,2026,3,16,-4.2700000000000005,4.270000000000001,Low
FAC-1192,West Zone,6.5,4.8,35.1,0,123,5,2026-07-12,2026,7,12,-6.8100000000000005,6.8100000000000005,Low
FAC-1132,West Zone,5.2,3.5,29.9,1,105,2,2026-05-13,2026,5,13,-1.2899999999999996,3.29,Low
FAC-1094,North Zone,6.8,2.2,14.8,1,125,4,2026-04-05,2026,4,5,1.1199999999999992,0.8799999999999999,Low
FAC-1102,West Zone,6.4,0.0,100.0,1,121,2,2026-04-13,2026,4,13,-3.6,5.6,Low
FAC-1116,South Zone,9.4,3.0,26.3,1,103,3,2026-04-27,2026,4,27,2.7700000000000005,-0.7700000000000014,Low
FAC-1183,South Zone,6.2,3.2,29.3,1,121,2,2026-07-03,2026,7,3,0.0699999999999998,1.9300000000000006,Low
FAC-1057,South Zone,5.7,2.7,62.7,1,130,1,2026-02-27,2026,2,27,-2.2700000000000005,4.2700000000000005,Low
FAC-1109,East Zone,7.8,2.5,23.5,1,900,2,2026-04-20,2026,4,20,2.9499999999999997,-0.9500000000000002,Low
FAC-1166,West Zone,9.3,4.0,58.3,0,120,2,2026-06-16,2026,6,16,-2.53,2.5299999999999994,Low
FAC-1198,Central Zone,7.0,3.0,34.5,0,126,5,2026-07-18,2026,7,18,-4.45,4.449999999999999,Low
FAC-1129,Central Zone,10.0,3.7,44.2,1,130,2,2026-05-10,2026,5,10,1.88,0.120000000000001,Low
FAC-1088,West Zone,6.0,3.4,60.0,1,123,2,2026-03-30,2026,3,30,-3.4,5.4,Low
FAC-1009,Central Zone,6.0,3.1,52.5,1,135,3,2026-01-10,2026,1,10,-3.35,5.35,Low
FAC-1189,East Zone,8.3,2.3,51.2,1,116,3,2026-07-09,2026,7,9,-0.1199999999999992,2.119999999999999,Low
FAC-1082,Central Zone,5.0,4.6,73.9,1,130,0,2026-03-24,2026,3,24,-4.99,6.99,Low
FAC-1120,South Zone,6.8,0.6,39.0,1,117,3,2026-05-01,2026,5,1,1.3000000000000007,0.7000000000000002,Low
FAC-1139,Central Zone,3.9,2.0,56.9,1,122,30,2026-05-20,2026,5,20,-31.79,33.79,High
FAC-1128,Central Zone,7.4,3.0,22.1,0,115,3,2026-05-09,2026,5,9,-0.8099999999999996,0.8100000000000005,Low
FAC-1060,South Zone,6.4,1.5,50.3,1,122,2,2026-03-02,2026,3,2,-0.129999999999999,2.129999999999999,Low
FAC-1141,Central Zone,7.2,1.9,26.3,1,121,2,2026-05-22,2026,5,22,2.670000000000001,-0.6700000000000008,Low
FAC-1027,South Zone,7.2,4.0,69.8,1,131,1,2026-01-28,2026,1,28,-2.78,4.78,Low
FAC-1040,West Zone,7.2,2.0,48.7,1,112,5,2026-02-10,2026,2,10,-2.67,4.670000000000001,Low
FAC-1045,North Zone,5.9,3.7,46.9,1,132,0,2026-02-15,2026,2,15,-0.4899999999999993,2.49,Low
FAC-1145,West Zone,7.6,3.0,35.1,1,128,0,2026-05-26,2026,5,26,3.0899999999999994,-1.0899999999999999,Low
FAC-1031,West Zone,7.7,1.2,30.9,1,129,1,2026-02-01,2026,2,1,4.41,-2.41,Low
FAC-1163,North Zone,6.4,3.0,53.8,1,118,2,2026-06-13,2026,6,13,-1.9799999999999995,3.9799999999999986,Low
FAC-1032,West Zone,6.6,4.9,36.8,1,108,1,2026-02-02,2026,2,2,-0.9800000000000004,2.9800000000000004,Low
FAC-1013,South Zone,6.6,1.4,47.4,1,121,2,2026-01-14,2026,1,14,0.4599999999999991,1.540000000000001,Low
FAC-1121,West Zone,5.8,5.4,52.1,1,111,1,2026-05-02,2026,5,2,-3.810000000000001,5.81,Low
FAC-1080,Central Zone,8.0,3.4,6.3,1,113,0,2026-03-22,2026,3,22,5.97,-3.9699999999999998,Low
FAC-1134,East Zone,6.5,3.6,46.7,1,110,3,2026-05-15,2026,5,15,-2.77,4.77,Low
FAC-1028,West Zone,6.1,2.1,49.4,1,113,0,2026-01-29,2026,1,29,1.06,0.9399999999999995,Low
FAC-1018,North Zone,8.8,2.6,36.8,1,149,2,2026-01-19,2026,1,19,2.5200000000000014,-0.5200000000000014,Low
FAC-1114,North Zone,6.8,3.1,49.2,1,117,2,2026-04-25,2026,4,25,-1.2200000000000002,3.2199999999999998,Low
FAC-1165,South Zone,5.1,3.0,54.3,0,125,3,2026-06-15,2026,6,15,-6.33,6.33,Low
FAC-1154,East Zone,7.7,3.9,76.4,1,104,2,2026-06-04,2026,6,4,-3.84,5.840000000000001,Low
FAC-1096,Central Zone,7.1,2.1,51.4,1,101,0,2026-04-07,2026,4,7,1.8600000000000003,0.14000000000000057,Low
FAC-1058,West Zone,9.0,1.8,12.1,1,109,1,2026-02-28,2026,2,28,6.99,-4.99,Low
FAC-1117,East Zone,6.3,5.5,43.7,0,114,3,2026-04-28,2026,4,28,-6.57,6.570000000000001,Low
FAC-1095,East Zone,6.0,4.6,30.9,1,121,0,2026-04-06,2026,4,6,0.3100000000000005,1.6899999999999995,Low
FAC-1036,East Zone,7.9,4.0,50.3,1,118,4,2026-02-06,2026,2,6,-3.129999999999999,5.129999999999999,Low
FAC-1085,North Zone,5.2,2.5,42.7,1,130,2,2026-03-27,2026,3,27,-1.5700000000000005,3.5699999999999994,Low
FAC-1182,North Zone,6.4,1.1,43.5,1,127,2,2026-07-02,2026,7,2,0.9500000000000012,1.049999999999999,Low
FAC-1051,West Zone,8.1,2.3,52.4,0,134,1,2026-02-21,2026,2,21,-0.4400000000000004,0.4399999999999995,Low
FAC-1173,West Zone,6.7,2.1,11.8,1,121,0,2026-06-23,2026,6,23,5.42,-3.42,Low
FAC-1143,West Zone,8.1,2.7,15.8,1,142,3,2026-05-24,2026,5,24,2.8199999999999994,-0.8199999999999994,Low
FAC-1084,North Zone,5.5,4.4,87.6,0,122,5,2026-03-26,2026,3,26,-12.66,12.66,High
FAC-1170,North Zone,9.9,5.1,78.6,1,119,1,2026-06-20,2026,6,20,-2.0599999999999987,4.059999999999999,Low
FAC-1098,South Zone,9.8,2.0,53.0,0,110,2,2026-04-09,2026,4,9,0.5000000000000009,-0.5,Low
FAC-1037,Central Zone,6.8,4.4,37.8,1,123,2,2026-02-07,2026,2,7,-1.3800000000000003,3.38,Low
FAC-1155,North Zone,8.7,2.7,69.2,1,118,2,2026-06-05,2026,6,5,-0.9200000000000008,2.9200000000000017,Low
FAC-1113,East Zone,5.9,4.0,29.6,1,118,4,2026-04-24,2026,4,24,-3.06,5.0600000000000005,Low
FAC-1105,Central Zone,7.6,4.1,32.6,1,123,2,2026-04-16,2026,4,16,0.2399999999999997,1.7599999999999998,Low
FAC-1101,North Zone,6.3,2.7,43.1,1,129,4,2026-04-12,2026,4,12,-2.710000000000001,4.710000000000002,Low
FAC-1049,West Zone,10.0,3.3,49.1,1,114,0,2026-02-19,2026,2,19,3.79,-1.7899999999999991,Low
FAC-1104,North Zone,4.0,2.4,30.6,1,850,0,2026-04-15,2026,4,15,0.54,1.46,Low
FAC-1005,South Zone,5.2,3.3,42.2,1,112,2,2026-01-06,2026,1,6,-2.3200000000000003,4.319999999999999,Low
FAC-1017,Central Zone,7.1,3.3,44.0,1,109,3,2026-01-18,2026,1,18,-1.6000000000000003,3.5999999999999996,Low
FAC-1122,Central Zone,6.4,10.0,52.6,1,118,0,2026-05-03,2026,5,3,-6.859999999999999,8.86,High
FAC-1174,West Zone,6.9,3.6,42.1,1,136,1,2026-06-24,2026,6,24,0.0900000000000003,1.9100000000000001,Low
FAC-1181,East Zone,7.8,1.5,26.5,1,123,1,2026-07-01,2026,7,1,4.65,-2.6499999999999995,Low
FAC-1106,East Zone,6.2,2.3,46.3,1,113,2,2026-04-17,2026,4,17,-0.7299999999999995,2.7299999999999995,Low
FAC-1086,North Zone,7.7,2.2,1.4,1,92,1,2026-03-28,2026,3,28,6.36,-4.359999999999999,Low
FAC-1062,Central Zone,10.0,2.1,5.7,1,114,2,2026-03-04,2026,3,4,7.33,-5.33,Low
FAC-1064,South Zone,7.0,1.4,58.2,1,107,1,2026-03-06,2026,3,6,0.7799999999999994,1.2200000000000006,Low
FAC-1026,East Zone,7.0,1.8,70.0,1,116,3,2026-01-27,2026,1,27,-2.8,4.800000000000001,Low
FAC-1041,North Zone,7.0,2.9,47.5,0,107,1,2026-02-11,2026,2,11,-1.6500000000000004,1.6500000000000004,Low
FAC-1052,West Zone,7.5,1.9,66.6,1,122,1,2026-02-22,2026,2,22,-0.0599999999999996,2.0599999999999987,Low
FAC-1178,Central Zone,9.5,3.0,40.2,1,121,2,2026-06-28,2026,6,28,2.4799999999999995,-0.4800000000000004,Low
FAC-1081,North Zone,5.4,3.0,50.1,1,144,3,2026-03-23,2026,3,23,-3.61,5.609999999999999,Low
FAC-1007,East Zone,7.6,3.5,38.9,1,121,3,2026-01-08,2026,1,8,-0.79,2.790000000000001,Low
FAC-1091,North Zone,4.8,3.2,63.5,0,128,3,2026-04-02,2026,4,2,-7.75,7.750000000000001,Low
FAC-1179,North Zone,4.2,3.0,40.9,1,121,2,2026-06-29,2026,6,29,-2.89,4.89,Low
FAC-1138,South Zone,6.3,4.9,41.6,1,126,2,2026-05-19,2026,5,19,-2.7600000000000007,4.760000000000001,Low
FAC-1070,North Zone,7.5,1.2,47.2,1,119,1,2026-03-12,2026,3,12,2.579999999999999,-0.5799999999999992,Low
FAC-1115,Central Zone,6.3,3.3,30.5,1,122,3,2026-04-26,2026,4,26,-1.0499999999999998,3.05,Low
FAC-1008,East Zone,5.4,3.1,48.5,1,104,1,2026-01-09,2026,1,9,-1.5499999999999994,3.549999999999999,Low
FAC-1131,Central Zone,9.9,4.4,53.6,0,122,3,2026-05-12,2026,5,12,-2.8600000000000003,2.860000000000001,Low
FAC-1079,West Zone,7.0,2.5,43.9,0,124,28,2026-03-21,2026,3,21,-27.89,27.89,High
FAC-1140,North Zone,10.0,3.7,31.3,1,121,0,2026-05-21,2026,5,21,5.17,-3.17,Low
FAC-1133,Central Zone,7.3,1.4,30.2,1,96,0,2026-05-14,2026,5,14,4.880000000000001,-2.88,Low
FAC-1029,West Zone,5.7,0.7,24.8,1,118,0,2026-01-30,2026,1,30,4.52,-2.5200000000000005,Low
FAC-1003,Central Zone,7.8,2.0,5.8,1,114,1,2026-01-04,2026,1,4,6.22,-4.22,Low
FAC-1039,South Zone,4.1,1.3,37.2,1,116,1,2026-02-09,2026,2,9,0.0799999999999996,1.9200000000000008,Low
FAC-1050,West Zone,5.0,2.4,65.6,1,128,2,2026-02-20,2026,2,20,-3.96,5.959999999999999,Low
FAC-1077,West Zone,6.6,3.0,67.6,1,145,1,2026-03-19,2026,3,19,-2.16,4.16,Low
FAC-1169,West Zone,5.8,2.1,30.6,0,121,3,2026-06-19,2026,6,19,-2.3600000000000003,2.3600000000000003,Low
FAC-1111,East Zone,7.7,3.6,19.6,1,116,1,2026-04-22,2026,4,22,3.14,-1.1399999999999997,Low
FAC-1164,East Zone,8.8,3.2,41.0,1,123,3,2026-06-14,2026,6,14,0.5000000000000009,1.5,Low
FAC-1054,East Zone,8.4,3.4,43.8,1,110,1,2026-02-24,2026,2,24,1.62,0.379999999999999,Low
FAC-1090,East Zone,8.0,3.4,50.8,0,114,0,2026-04-01,2026,4,1,-0.4800000000000004,0.4800000000000004,Low
FAC-1168,North Zone,5.1,3.9,28.4,0,104,2,2026-06-18,2026,6,18,-3.64,3.6400000000000006,Low
FAC-1043,South Zone,7.0,4.4,49.6,1,133,0,2026-02-13,2026,2,13,-0.3600000000000003,2.3599999999999994,Low
FAC-1147,East Zone,7.2,3.6,8.1,1,129,3,2026-05-28,2026,5,28,1.79,0.20999999999999996,Low
FAC-1048,South Zone,8.0,2.4,35.9,0,118,0,2026-02-18,2026,2,18,2.01,-2.01,Low
FAC-1157,Central Zone,8.6,2.0,0.0,1,134,0,2026-06-07,2026,6,7,8.6,-6.6,Low
FAC-1059,South Zone,8.8,2.4,55.0,1,123,4,2026-03-01,2026,3,1,-1.0999999999999996,3.0999999999999996,Low
FAC-1015,South Zone,7.9,3.1,27.8,1,107,2,2026-01-16,2026,1,16,2.0200000000000005,-0.019999999999999574,Low
FAC-1053,Central Zone,7.0,4.8,34.0,0,121,3,2026-02-23,2026,2,23,-4.199999999999999,4.199999999999999,Low
FAC-1020,South Zone,7.3,3.2,51.5,1,131,3,2026-01-21,2026,1,21,-2.0500000000000007,4.050000000000002,Low
FAC-1124,North Zone,6.8,5.3,33.3,1,107,1,2026-05-05,2026,5,5,-0.8299999999999996,2.829999999999999,Low
FAC-1014,West Zone,6.8,1.1,49.6,1,111,2,2026-01-15,2026,1,15,0.7399999999999993,1.2600000000000007,Low
FAC-1193,South Zone,10.0,5.4,38.5,1,125,1,2026-07-13,2026,7,13,1.7499999999999996,0.25,Low
FAC-1191,Central Zone,5.0,5.0,32.4,0,124,0,2026-07-11,2026,7,11,-3.24,3.24,Low
FAC-1076,North Zone,3.5,1.5,39.2,1,126,3,2026-03-18,2026,3,18,-2.9200000000000004,4.92,Low
FAC-1107,West Zone,8.2,6.0,34.2,1,116,1,2026-04-18,2026,4,18,-0.220000000000001,2.2200000000000006,Low
FAC-1162,Central Zone,7.2,1.5,27.6,1,123,0,2026-06-12,2026,6,12,4.94,-2.9400000000000004,Low
FAC-1012,Central Zone,5.9,2.4,33.5,1,134,2,2026-01-13,2026,1,13,0.1500000000000003,1.8499999999999996,Low
FAC-1016,West Zone,8.9,4.3,67.7,0,104,1,2026-01-17,2026,1,17,-3.17,3.17,Low
FAC-1047,Central Zone,8.7,3.3,20.6,1,138,4,2026-02-17,2026,2,17,1.34,0.6600000000000001,Low
FAC-1150,North Zone,8.1,2.7,44.5,1,122,1,2026-05-31,2026,5,31,1.9499999999999995,0.05000000000000071,Low
FAC-1119,South Zone,6.1,2.5,36.3,1,123,1,2026-04-30,2026,4,30,0.9699999999999998,1.0300000000000002,Low
FAC-1021,Central Zone,4.8,4.0,40.2,1,137,3,2026-01-22,2026,1,22,-4.220000000000001,6.22,Low
FAC-1190,South Zone,6.1,3.5,55.1,1,104,3,2026-07-10,2026,7,10,-3.91,5.91,Low
FAC-1130,East Zone,5.8,1.2,29.2,1,118,3,2026-05-11,2026,5,11,0.6799999999999997,1.3200000000000003,Low
FAC-1187,North Zone,7.5,1.4,54.4,1,139,2,2026-07-07,2026,7,7,0.6600000000000001,1.3399999999999999,Low
FAC-1073,South Zone,6.3,3.8,50.8,1,121,0,2026-03-15,2026,3,15,-0.5800000000000001,2.579999999999999,Low
FAC-1030,East Zone,8.2,2.3,75.8,1,116,1,2026-01-31,2026,1,31,-0.6800000000000006,2.6799999999999997,Low
FAC-1188,North Zone,8.7,6.1,43.4,1,102,3,2026-07-08,2026,7,8,-2.74,4.74,Low
FAC-1033,North Zone,8.6,3.6,42.4,1,144,4,2026-02-03,2026,2,3,-1.2400000000000002,3.24,Low
FAC-1148,South Zone,8.8,2.4,18.5,1,123,1,2026-05-29,2026,5,29,5.550000000000001,-3.5500000000000007,Low
FAC-1171,North Zone,6.9,3.3,42.2,1,121,4,2026-06-21,2026,6,21,-2.62,4.619999999999999,Low
FAC-1180,North Zone,9.4,3.3,14.6,0,140,1,2026-06-30,2026,6,30,3.640000000000001,-3.6400000000000006,Low
FAC-1123,East Zone,7.2,3.6,39.4,1,118,1,2026-05-04,2026,5,4,0.6600000000000001,1.339999999999999,Low
FAC-1034,East Zone,8.3,3.8,46.8,1,129,3,2026-02-04,2026,2,4,-1.1799999999999988,3.1799999999999997,Low
FAC-1100,West Zone,5.6,3.4,26.9,1,124,3,2026-04-11,2026,4,11,-1.4900000000000002,3.49,Low
FAC-1149,West Zone,7.8,4.3,62.0,1,132,0,2026-05-30,2026,5,30,-0.7000000000000002,2.7,Low
FAC-1161,North Zone,5.1,2.8,36.7,0,116,3,2026-06-11,2026,6,11,-4.370000000000001,4.370000000000001,Low
FAC-1186,Central Zone,4.7,4.6,60.5,1,130,2,2026-07-06,2026,7,6,-5.949999999999999,7.949999999999998,Low
FAC-1061,West Zone,7.8,4.9,4.9,0,107,1,2026-03-03,2026,3,3,1.4099999999999993,-1.4099999999999993,Low
FAC-1035,Central Zone,9.7,3.6,49.7,1,119,2,2026-02-05,2026,2,5,1.129999999999999,0.870000000000001,Low
FAC-1010,West Zone,8.3,2.7,13.8,1,137,3,2026-01-11,2026,1,11,3.2200000000000006,-1.2200000000000006,Low
FAC-1071,Central Zone,7.1,3.8,63.7,1,115,3,2026-03-13,2026,3,13,-4.07,6.07,Low
FAC-1199,West Zone,10.0,3.0,47.1,1,129,3,2026-07-19,2026,7,19,1.29,0.7100000000000009,Low
FAC-1093,East Zone,7.7,3.7,29.8,1,108,1,2026-04-04,2026,4,4,2.02,-0.020000000000000462,Low
FAC-1159,East Zone,5.7,2.7,43.6,1,114,2,2026-06-09,2026,6,9,-1.3600000000000003,3.3600000000000003,Low
FAC-1118,North Zone,5.9,3.3,55.8,1,133,5,2026-04-29,2026,4,29,-5.98,7.979999999999999,Low
FAC-1144,West Zone,9.9,3.6,60.2,1,108,3,2026-05-25,2026,5,25,-0.7199999999999998,2.7200000000000006,Low
FAC-1001,Central Zone,7.3,3.0,37.1,1,119,2,2026-01-02,2026,1,2,0.5899999999999999,1.410000000000001,Low
FAC-1083,Central Zone,5.9,2.2,26.0,1,119,2,2026-03-25,2026,3,25,1.1,0.9000000000000004,Low
FAC-1195,East Zone,5.7,1.6,55.2,1,129,2,2026-07-15,2026,7,15,-1.4200000000000008,3.420000000000001,Low
FAC-1087,North Zone,9.7,3.1,34.2,1,118,3,2026-03-29,2026,3,29,2.18,-0.17999999999999972,Low
FAC-1137,South Zone,7.0,1.7,15.6,1,117,5,2026-05-18,2026,5,18,0.7400000000000002,1.2599999999999998,Low
FAC-1004,Central Zone,7.0,1.3,52.0,0,128,1,2026-01-05,2026,1,5,-0.5,0.5,Low
FAC-1038,North Zone,6.8,2.4,50.0,1,99,0,2026-02-08,2026,2,8,1.4000000000000004,0.6000000000000005,Low
FAC-1177,North Zone,7.7,1.0,49.4,1,119,1,2026-06-27,2026,6,27,2.7600000000000007,-0.7600000000000007,Low
FAC-1112,Central Zone,9.5,3.3,61.0,1,117,3,2026-04-23,2026,4,23,-0.8999999999999995,2.8999999999999986,Low
FAC-1152,North Zone,7.3,5.0,55.6,0,121,2,2026-06-02,2026,6,2,-5.260000000000001,5.260000000000001,Low
FAC-1056,West Zone,4.1,1.9,5.1,1,121,3,2026-02-26,2026,2,26,0.6899999999999995,1.3100000000000005,Low
FAC-1069,West Zone,7.0,1.1,55.8,1,122,2,2026-03-11,2026,3,11,0.3200000000000003,1.6799999999999997,Low
FAC-1044,South Zone,9.0,0.7,33.4,1,132,2,2026-02-14,2026,2,14,4.960000000000001,-2.96,Low
FAC-1019,West Zone,8.3,3.6,42.1,1,135,3,2026-01-20,2026,1,20,-0.5099999999999989,2.51,Low
FAC-1006,East Zone,8.2,5.2,66.9,1,126,1,2026-01-07,2026,1,7,-2.6900000000000013,4.690000000000001,Low
FAC-1055,North Zone,7.0,3.3,52.1,1,107,2,2026-02-25,2026,2,25,-1.5099999999999998,3.51,Low
FAC-1075,South Zone,5.8,3.2,33.6,1,115,2,2026-03-17,2026,3,17,-0.7600000000000007,2.7600000000000007,Low
FAC-1000,West Zone,6.9,2.0,47.4,0,116,1,2026-01-01,2026,1,1,-0.8399999999999999,0.8399999999999999,Low
FAC-1172,South Zone,7.8,3.5,52.2,1,127,4,2026-06-22,2026,6,22,-2.920000000000001,4.920000000000001,Low
FAC-1135,East Zone,5.8,0.5,40.2,0,102,1,2026-05-16,2026,5,16,0.2799999999999993,-0.27999999999999936,Low
FAC-1127,West Zone,6.7,4.7,44.7,1,116,2,2026-05-08,2026,5,8,-2.4700000000000006,4.4700000000000015,Low
FAC-1176,East Zone,7.1,1.6,52.9,1,116,2,2026-06-26,2026,6,26,0.2099999999999999,1.790000000000001,Low
FAC-1068,West Zone,7.9,2.2,39.8,1,107,1,2026-03-10,2026,3,10,2.7200000000000006,-0.7200000000000006,Low
FAC-1167,East Zone,5.5,3.1,7.4,1,138,1,2026-06-17,2026,6,17,2.66,-0.6600000000000001,Low
FAC-1136,West Zone,8.0,5.8,74.1,1,123,1,2026-05-17,2026,5,17,-4.209999999999999,6.209999999999999,Low
FAC-1042,West Zone,5.0,0.0,51.4,1,143,5,2026-02-12,2026,2,12,-3.14,5.140000000000001,Low
FAC-1110,North Zone,6.4,4.4,48.1,1,123,2,2026-04-21,2026,4,21,-2.8100000000000005,4.8100000000000005,Low
FAC-1089,East Zone,4.5,5.3,70.0,1,119,1,2026-03-31,2026,3,31,-6.8,8.8,High
FAC-1072,Central Zone,6.7,2.9,54.6,1,142,4,2026-03-14,2026,3,14,-3.66,5.659999999999999,Low
FAC-1023,North Zone,8.1,1.9,0.0,1,112,1,2026-01-24,2026,1,24,7.199999999999999,-5.199999999999999,Low
FAC-1142,West Zone,7.0,4.2,26.9,1,106,2,2026-05-23,2026,5,23,0.1099999999999998,1.8900000000000006,Low
FAC-1185,West Zone,7.3,0.5,47.0,1,109,1,2026-07-05,2026,7,5,3.1,-1.0999999999999996,Low
FAC-1092,East Zone,7.0,4.9,22.3,1,118,0,2026-04-03,2026,4,3,1.87,0.13000000000000078,Low
FAC-1103,South Zone,7.9,2.7,59.5,1,123,3,2026-04-14,2026,4,14,-1.75,3.75,Low
FAC-1151,North Zone,9.7,2.9,57.5,1,107,3,2026-06-01,2026,6,1,0.0499999999999989,1.950000000000001,Low
FAC-1067,South Zone,6.5,2.9,47.7,1,127,0,2026-03-09,2026,3,9,0.8299999999999996,1.17,Low
FAC-1025,East Zone,7.2,2.6,7.9,1,122,0,2026-01-26,2026,1,26,5.81,-3.81,Low
FAC-1196,East Zone,7.6,3.3,30.6,1,112,2,2026-07-16,2026,7,16,1.2399999999999998,0.7599999999999998,Low
FAC-1175,South Zone,6.2,3.8,54.7,1,146,3,2026-06-25,2026,6,25,-4.07,6.069999999999999,Low
