facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,hours_since_cleaning,risk_index,hygiene_risk
FAC-1098,South Zone,9.8,2.0,53.0,No,110,2,2026-04-09,15,2.92633576603975,Low
FAC-1037,Central Zone,6.8,4.4,37.8,Yes,123,2,2026-02-07,45,5.269348460270898,High
FAC-1155,North Zone,8.7,2.7,69.2,Yes,118,2,2026-06-05,65,4.830002645239803,High
FAC-1113,East Zone,5.9,4.0,29.6,Yes,118,4,2026-04-24,71,5.109086876958696,High
FAC-1105,Central Zone,7.6,4.1,32.6,Yes,123,2,2026-04-16,9,2.3140961330394814,Low
FAC-1101,North Zone,6.3,2.7,43.1,Yes,129,4,2026-04-12,1,4.395453830739902,High
FAC-1049,West Zone,10.0,3.3,49.1,Yes,114,0,2026-02-19,8,0.7277621781936423,Low
FAC-1104,North Zone,4.0,2.4,30.6,Yes,850,0,2026-04-15,63,3.2867720898899866,Low
FAC-1005,South Zone,5.2,3.3,42.2,Yes,112,2,2026-01-06,11,2.7909546782563446,Low
FAC-1017,Central Zone,7.1,3.3,44.0,Yes,109,3,2026-01-18,8,3.2278112090794844,Low
FAC-1122,Central Zone,6.4,10.0,52.6,Yes,118,0,2026-05-03,35,8.453987850010263,High
FAC-1174,West Zone,6.9,3.6,42.1,Yes,136,1,2026-06-24,35,0.37110221111237784,Low
FAC-1181,East Zone,7.8,1.5,26.5,Yes,123,1,2026-07-01,33,3.07439028556177,Low
FAC-1106,East Zone,6.2,2.3,46.3,Yes,113,2,2026-04-17,5,0.5719261932155222,Low
FAC-1086,North Zone,7.7,2.2,1.4,Yes,92,1,2026-03-28,41,1.1201022013158497,Low
FAC-1062,Central Zone,10.0,2.1,5.7,Yes,114,2,2026-03-04,28,2.8524258954510495,Low
FAC-1064,South Zone,7.0,1.4,58.2,Yes,107,1,2026-03-06,7,2.730420028643194,Low
FAC-1026,East Zone,7.0,1.8,70.0,Yes,116,3,2026-01-27,12,1.703382833106041,Low
FAC-1041,North Zone,7.0,2.9,47.5,No,107,1,2026-02-11,34,1.9920444361100476,Low
FAC-1052,West Zone,7.5,1.9,66.6,Yes,122,1,2026-02-22,33,4.056396623402014,High
FAC-1178,Central Zone,9.5,3.0,40.2,Yes,121,2,2026-06-28,48,1.3884500524242949,Low
FAC-1081,North Zone,5.4,3.0,50.1,Yes,144,3,2026-03-23,23,4.136687884372962,High
FAC-1007,East Zone,7.6,3.5,38.9,Yes,121,3,2026-01-08,62,3.5113577598557213,High
FAC-1091,North Zone,4.8,3.2,63.5,No,128,3,2026-04-02,37,3.472599478591275,High
FAC-1179,North Zone,4.2,3.0,40.9,Yes,121,2,2026-06-29,44,7.263916133987989,High
FAC-1138,South Zone,6.3,4.9,41.6,Yes,126,2,2026-05-19,35,4.767878533477017,High
FAC-1070,North Zone,7.5,1.2,47.2,Yes,119,1,2026-03-12,65,-0.24371387998641092,Low
FAC-1115,Central Zone,6.3,3.3,30.5,Yes,122,3,2026-04-26,47,3.744681472154142,High
FAC-1008,East Zone,5.4,3.1,48.5,Yes,104,1,2026-01-09,3,2.312320302847418,Low
FAC-1131,Central Zone,9.9,4.4,53.6,No,122,3,2026-05-12,1,3.940650002194336,High
FAC-1079,West Zone,7.0,2.5,43.9,No,124,28,2026-03-21,5,5.4642188923509485,High
FAC-1140,North Zone,10.0,3.7,31.3,Yes,121,0,2026-05-21,14,1.5188953377996515,Low
FAC-1133,Central Zone,7.3,1.4,30.2,Yes,96,0,2026-05-14,27,2.791480918470686,Low
FAC-1029,West Zone,5.7,0.7,24.8,Yes,118,0,2026-01-30,9,3.349632791255182,High
FAC-1003,Central Zone,7.8,2.0,5.8,Yes,114,1,2026-01-04,15,-0.22444461058366416,Low
FAC-1039,South Zone,4.1,1.3,37.2,Yes,116,1,2026-02-09,42,2.9072481462385777,Low
FAC-1050,West Zone,5.0,2.4,65.6,Yes,128,2,2026-02-20,51,3.509582033258565,High
FAC-1077,West Zone,6.6,3.0,67.6,Yes,145,1,2026-03-19,63,2.9220061511394317,Low
FAC-1169,West Zone,5.8,2.1,30.6,No,121,3,2026-06-19,52,6.015181360421646,High
FAC-1111,East Zone,7.7,3.6,19.6,Yes,116,1,2026-04-22,4,2.7794725664414335,Low
FAC-1164,East Zone,8.8,3.2,41.0,Yes,123,3,2026-06-14,23,0.768674068497432,Low
FAC-1054,East Zone,8.4,3.4,43.8,Yes,110,1,2026-02-24,15,3.8827929205821636,High
FAC-1090,East Zone,8.0,3.4,50.8,No,114,0,2026-04-01,43,6.07923429551895,High
FAC-1168,North Zone,5.1,3.9,28.4,No,104,2,2026-06-18,29,5.1516978908267195,High
FAC-1043,South Zone,7.0,4.4,49.6,Yes,133,0,2026-02-13,36,1.0729450510689795,Low
FAC-1147,East Zone,7.2,3.6,8.1,Yes,129,3,2026-05-28,13,1.7556488907006227,Low
FAC-1048,South Zone,8.0,2.4,35.9,No,118,0,2026-02-18,32,4.138366723779934,High
FAC-1157,Central Zone,8.6,2.0,0.0,Yes,134,0,2026-06-07,71,0.5684958015718291,Low
FAC-1059,South Zone,8.8,2.4,55.0,Yes,123,4,2026-03-01,59,3.9157291422193428,High
FAC-1015,South Zone,7.9,3.1,27.8,Yes,107,2,2026-01-16,28,3.702951080144005,High
FAC-1053,Central Zone,7.0,4.8,34.0,No,121,3,2026-02-23,66,2.499604292632875,Low
FAC-1020,South Zone,7.3,3.2,51.5,Yes,131,3,2026-01-21,42,3.4207119659072998,High
FAC-1124,North Zone,6.8,5.3,33.3,Yes,107,1,2026-05-05,45,-1.310901010103609,Low
FAC-1014,West Zone,6.8,1.1,49.6,Yes,111,2,2026-01-15,62,1.610418537998565,Low
FAC-1193,South Zone,10.0,5.4,38.5,Yes,125,1,2026-07-13,57,2.4611477729102593,Low
FAC-1191,Central Zone,5.0,5.0,32.4,No,124,0,2026-07-11,6,1.586325227052726,Low
FAC-1076,North Zone,3.5,1.5,39.2,Yes,126,3,2026-03-18,28,6.2876169558974535,High
FAC-1107,West Zone,8.2,6.0,34.2,Yes,116,1,2026-04-18,28,1.0087879330590508,Low
FAC-1162,Central Zone,7.2,1.5,27.6,Yes,123,0,2026-06-12,44,1.5469332699545242,Low
FAC-1012,Central Zone,5.9,2.4,33.5,Yes,134,2,2026-01-13,30,3.2961108659291365,High
FAC-1016,West Zone,8.9,4.3,67.7,No,104,1,2026-01-17,62,5.690909933599173,High
FAC-1047,Central Zone,8.7,3.3,20.6,Yes,138,4,2026-02-17,62,0.6932067732308411,Low
FAC-1150,North Zone,8.1,2.7,44.5,Yes,122,1,2026-05-31,1,4.039745628232439,High
FAC-1119,South Zone,6.1,2.5,36.3,Yes,123,1,2026-04-30,27,2.9563495915293805,Low
FAC-1021,Central Zone,4.8,4.0,40.2,Yes,137,3,2026-01-22,62,2.961737023428074,Low
FAC-1190,South Zone,6.1,3.5,55.1,Yes,104,3,2026-07-10,3,4.320155211394907,High
FAC-1130,East Zone,5.8,1.2,29.2,Yes,118,3,2026-05-11,70,3.5925895433602055,High
FAC-1187,North Zone,7.5,1.4,54.4,Yes,139,2,2026-07-07,27,1.8576746842618075,Low
FAC-1073,South Zone,6.3,3.8,50.8,Yes,121,0,2026-03-15,9,3.2707031274850284,Low
FAC-1030,East Zone,8.2,2.3,75.8,Yes,116,1,2026-01-31,62,2.8230296047073598,Low
FAC-1188,North Zone,8.7,6.1,43.4,Yes,102,3,2026-07-08,37,3.7732760178768716,High
FAC-1033,North Zone,8.6,3.6,42.4,Yes,144,4,2026-02-03,51,4.27119601178157,High
FAC-1148,South Zone,8.8,2.4,18.5,Yes,123,1,2026-05-29,44,4.299025224218028,High
FAC-1171,North Zone,6.9,3.3,42.2,Yes,121,4,2026-06-21,24,1.5822767517597265,Low
FAC-1180,North Zone,9.4,3.3,14.6,No,140,1,2026-06-30,59,5.2365500619844,High
FAC-1123,East Zone,7.2,3.6,39.4,Yes,118,1,2026-05-04,32,0.0698683007162475,Low
FAC-1034,East Zone,8.3,3.8,46.8,Yes,129,3,2026-02-04,52,3.1383223574466252,Low
FAC-1100,West Zone,5.6,3.4,26.9,Yes,124,3,2026-04-11,62,4.660475809726865,High
FAC-1149,West Zone,7.8,4.3,62.0,Yes,132,0,2026-05-30,58,3.9764878016025493,High
FAC-1161,North Zone,5.1,2.8,36.7,No,116,3,2026-06-11,52,2.9399507202691093,Low
FAC-1186,Central Zone,4.7,4.6,60.5,Yes,130,2,2026-07-06,12,4.057816624464087,High
FAC-1061,West Zone,7.8,4.9,4.9,No,107,1,2026-03-03,39,1.7834985980117515,Low
FAC-1035,Central Zone,9.7,3.6,49.7,Yes,119,2,2026-02-05,2,1.419952864583683,Low
FAC-1010,West Zone,8.3,2.7,13.8,Yes,137,3,2026-01-11,3,3.215403145531537,Low
FAC-1071,Central Zone,7.1,3.8,63.7,Yes,115,3,2026-03-13,56,4.639523228947571,High
FAC-1199,West Zone,10.0,3.0,47.1,Yes,129,3,2026-07-19,59,1.692635607109019,Low
FAC-1093,East Zone,7.7,3.7,29.8,Yes,108,1,2026-04-04,2,3.7303998131498757,High
FAC-1159,East Zone,5.7,2.7,43.6,Yes,114,2,2026-06-09,2,3.6179492813149134,High
FAC-1118,North Zone,5.9,3.3,55.8,Yes,133,5,2026-04-29,54,5.680293178258441,High
FAC-1144,West Zone,9.9,3.6,60.2,Yes,108,3,2026-05-25,1,3.5384432628854188,High
FAC-1001,Central Zone,7.3,3.0,37.1,Yes,119,2,2026-01-02,19,1.5485074836168913,Low
FAC-1083,Central Zone,5.9,2.2,26.0,Yes,119,2,2026-03-25,2,1.7797284397045452,Low
FAC-1195,East Zone,5.7,1.6,55.2,Yes,129,2,2026-07-15,53,4.744940407684893,High
FAC-1087,North Zone,9.7,3.1,34.2,Yes,118,3,2026-03-29,44,3.3545553981501977,High
FAC-1137,South Zone,7.0,1.7,15.6,Yes,117,5,2026-05-18,32,2.6756476090537777,Low
FAC-1004,Central Zone,7.0,1.3,52.0,No,128,1,2026-01-05,70,3.2909910749631726,High
FAC-1038,North Zone,6.8,2.4,50.0,Yes,99,0,2026-02-08,32,4.7964973436826375,High
FAC-1177,North Zone,7.7,1.0,49.4,Yes,119,1,2026-06-27,68,1.870642916746255,Low
FAC-1112,Central Zone,9.5,3.3,61.0,Yes,117,3,2026-04-23,55,4.015646071755056,High
FAC-1152,North Zone,7.3,5.0,55.6,No,121,2,2026-06-02,56,3.728711021349159,High
FAC-1056,West Zone,4.1,1.9,5.1,Yes,121,3,2026-02-26,17,2.640478195159169,Low
FAC-1069,West Zone,7.0,1.1,55.8,Yes,122,2,2026-03-11,38,4.619165277980785,High
FAC-1044,South Zone,9.0,0.7,33.4,Yes,132,2,2026-02-14,24,2.921124523482045,Low
FAC-1019,West Zone,8.3,3.6,42.1,Yes,135,3,2026-01-20,69,4.612264454000957,High
FAC-1006,East Zone,8.2,5.2,66.9,Yes,126,1,2026-01-07,70,5.986218210731494,High
FAC-1055,North Zone,7.0,3.3,52.1,Yes,107,2,2026-02-25,11,3.208505762449138,Low
FAC-1075,South Zone,5.8,3.2,33.6,Yes,115,2,2026-03-17,16,4.214929456942446,High
FAC-1000,West Zone,6.9,2.0,47.4,No,116,1,2026-01-01,59,2.6525998651098153,Low
FAC-1172,South Zone,7.8,3.5,52.2,Yes,127,4,2026-06-22,70,4.365249528732664,High
FAC-1135,East Zone,5.8,0.5,40.2,No,102,1,2026-05-16,3,2.173785418448473,Low
FAC-1127,West Zone,6.7,4.7,44.7,Yes,116,2,2026-05-08,20,3.7044939474890777,High
FAC-1176,East Zone,7.1,1.6,52.9,Yes,116,2,2026-06-26,59,4.11073553815537,High
FAC-1068,West Zone,7.9,2.2,39.8,Yes,107,1,2026-03-10,36,1.258668975149791,Low
FAC-1167,East Zone,5.5,3.1,7.4,Yes,138,1,2026-06-17,19,5.751580913528191,High
FAC-1136,West Zone,8.0,5.8,74.1,Yes,123,1,2026-05-17,67,2.8429739277504473,Low
FAC-1042,West Zone,5.0,0.0,51.4,Yes,143,5,2026-02-12,19,1.6467170808184017,Low
FAC-1110,North Zone,6.4,4.4,48.1,Yes,123,2,2026-04-21,20,5.379166310250102,High
FAC-1089,East Zone,4.5,5.3,70.0,Yes,119,1,2026-03-31,71,6.422494040944404,High
FAC-1072,Central Zone,6.7,2.9,54.6,Yes,142,4,2026-03-14,52,4.863179725578233,High
FAC-1023,North Zone,8.1,1.9,0.0,Yes,112,1,2026-01-24,33,2.4675182638964195,Low
FAC-1142,West Zone,7.0,4.2,26.9,Yes,106,2,2026-05-23,40,3.1696298407296277,Low
FAC-1185,West Zone,7.3,0.5,47.0,Yes,109,1,2026-07-05,39,1.0691184427712528,Low
FAC-1092,East Zone,7.0,4.9,22.3,Yes,118,0,2026-04-03,1,2.6947068372905894,Low
FAC-1103,South Zone,7.9,2.7,59.5,Yes,123,3,2026-04-14,11,2.0392574327318327,Low
FAC-1151,North Zone,9.7,2.9,57.5,Yes,107,3,2026-06-01,57,4.4476796001266266,High
FAC-1067,South Zone,6.5,2.9,47.7,Yes,127,0,2026-03-09,50,3.0084139277467923,Low
FAC-1025,East Zone,7.2,2.6,7.9,Yes,122,0,2026-01-26,23,0.6397542048112328,Low
FAC-1196,East Zone,7.6,3.3,30.6,Yes,112,2,2026-07-16,31,2.2849212375205097,Low
FAC-1175,South Zone,6.2,3.8,54.7,Yes,146,3,2026-06-25,42,4.673397181413437,High
